run_id,date,app_version,execution_mode,release_status,run_health,p0_alerts,p1_alerts,p2_alerts,state_files_ok,state_files_total,snapshots_created,manifest_sha256
2026-07-13-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-13,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,RESEARCH,PASS,0,0,4,6,6,6,e0200e7300441164559b7f24504134540f807a40e17170ba6ddf35f34b0b1ee4
2026-07-14-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-14,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,RESEARCH,PASS,0,0,3,6,6,6,f3aa27360a5727124ca1fe128a7ea9f06db8b06baa910ef4fe1777bb4d3b3612
2026-07-15-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-15,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,RESEARCH,PASS,0,0,4,6,6,6,7c4fd70dbfdd9cf6a63362bc5b0520abc5cf245ae3788f61bf47563332354563
2026-07-16-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-16,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,RESEARCH,PASS,0,0,4,6,6,6,e04ada9c8d0c1a53845523d8bf9b71885eb219cc60b8db6df555444ff03bc24f
2026-07-17-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-17,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,PAPER_VALIDATION,PASS,0,0,4,6,6,6,cbaef0766ba75fe8b7190903da61499eaebcf3233963f54d3c1548ea87588e17
2026-07-21-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-21,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,HOLD,PASS,0,1,4,6,6,6,54f1fecee58a6ac6c6f3758cafb4a4a2fb48f39d8ccb4f21bd438052e494db15
2026-07-22-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-22,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,HOLD,PASS,0,1,4,6,6,6,4a5101fe1fa15904b88380da615b18c56730abde266f9d807db3cc737e40fd53
2026-07-23-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-23,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,HOLD,PASS,0,1,4,6,6,6,2d44f9f6c97dcfb57f6d472b09eed52bcd4c07674684999e48b06755fc27eb19
2026-07-24-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-24,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,HOLD,PASS,0,1,4,6,6,6,3e255b889cd70a12133c79f96e3dd3f024f03bc9ab749ea2106b3fa311f17993
2026-07-27-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-27,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,HOLD,PASS,1,0,4,6,6,6,bae52fee434f529487315ee647132ce63a80b01b49b278a2996e7e2b774ffc83
2026-07-28-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-28,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,HOLD,PASS,0,1,3,6,6,6,d50dcd9cdd47b3a23f671c3dd15a785b4d1041b5ad83808bf74493ee688ca6d9
2026-07-29-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-29,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,HOLD,PASS,0,1,2,6,6,6,281fa06dabbeeb1a068e16b895a1aab0af334bf869933a6fb9c81e3427ebe628
2026-07-30-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-30,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,HOLD,PASS,0,1,2,6,6,6,6e7c5d74e37df30cffad08e9dfb22d2b483dffd07ff7fc526769847d687acc60
2026-07-31-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-07-31,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,HOLD,PASS,0,1,2,6,6,6,8e35310751d089c6fe5fb5b45e6e5e788f5e7ebd181271774f26003ca93ce7c0
2026-08-03-2026-07-11-dashboard-relative-strength-lifecycle-v19,2026-08-03,2026-07-11-dashboard-relative-strength-lifecycle-v19,RESEARCH_AND_PAPER_ONLY,HOLD,PASS,0,1,2,6,6,6,a1e1c0bd7bf26d506417dfaf4805c13baf415c82c72b2600d052a372478ae1ab
