date,ytd_high_count,top100_avg_score,top100_avg_return_20d,top100_avg_volume_ratio,delta_ytd_high_count,delta_top100_avg_score,delta_top100_avg_return_20d,delta_top100_avg_volume_ratio,market_regime,market_regime_base,market_regime_score,market_regime_ma20_ratio,market_regime_ma60_ratio,market_regime_overheat_count,market_regime_overheat_ratio,previous_market_regime,previous_market_regime_score,previous_market_regime_date,regime_changed,regime_transition,regime_transition_type,regime_score_delta,regime_streak
2026-07-04,100,65.89,0.167364,1.882,0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2026-07-05,131,65.89,0.167364,1.882,31,0.0,0.0,0.0,,,,,,,,,,,,,,,
2026-07-06,161,68.99,0.190791,2.1698,30,3.1,0.023427,0.2878,,,,,,,,,,,,,,,
2026-07-07,166,66.62,0.146962,2.2191,5,-2.37,-0.043829,0.0493,,,,,,,,,,,,,,,
2026-07-08,112,64.33,0.147376,1.6387,-54,-2.29,0.000414,-0.5804,,,,,,,,,,,,,,,
2026-07-09,68,54.94,0.209077,3.0587,-44,-9.39,0.061701,1.42,,,,,,,,,,,,,,,
2026-07-10,97,61.42,0.168127,7.247,29,6.48,-0.04095,4.1883,強気,強気,89.0,0.99,0.99,11.0,0.11,,,,False,履歴開始 → 強気,履歴開始,,1.0
2026-07-13,103,63.14,0.155646,3.9633,6,1.72,-0.012481,-3.2837,強気,強気,93.0,0.99,1.0,12.0,0.12,強気,89.0,2026-07-10,False,強気 → 強気,維持,4.0,2.0
2026-07-14,97,64.37,0.189463,3.8212,-6,1.23,0.033817,-0.1421,強気,強気,89.0,1.0,1.0,14.0,0.14,強気,93.0,2026-07-13,False,強気 → 強気,維持,-4.0,3.0
2026-07-15,127,65.55,0.165512,2.2441,30,1.18,-0.023951,-1.5771,強気,強気,93.0,1.0,1.0,5.0,0.05,強気,89.0,2026-07-14,False,強気 → 強気,維持,4.0,4.0
2026-07-16,119,64.79,0.143291,3.6561,-8,-0.76,-0.022221,1.412,強気,強気,87.0,1.0,1.0,8.0,0.08,強気,93.0,2026-07-15,False,強気 → 強気,維持,-6.0,5.0
2026-07-17,67,54.32,0.195589,4.0247,-52,-10.47,0.052298,0.3686,強気,強気,81.0,0.99,1.0,11.0,0.11,強気,87.0,2026-07-16,False,強気 → 強気,維持,-6.0,6.0
2026-07-21,88,60.97,0.176944,2.5069,21,6.65,-0.018645,-1.5178,強気,強気,89.0,1.0,1.0,11.0,0.11,強気,81.0,2026-07-17,False,強気 → 強気,維持,8.0,7.0
2026-07-22,73,55.28,0.20565,4.5946,-15,-5.69,0.028706,2.0877,強気,強気,81.0,0.97,0.98,10.0,0.1,強気,89.0,2026-07-21,False,強気 → 強気,維持,-8.0,8.0
2026-07-23,88,60.51,0.193449,4.238,15,5.23,-0.012201,-0.3566,強気,強気,89.0,0.99,0.99,14.0,0.14,強気,81.0,2026-07-22,False,強気 → 強気,維持,8.0,9.0
2026-07-24,75,57.54,0.237035,3.3195,-13,-2.97,0.043586,-0.9185,強気,強気,81.0,0.96,0.96,14.0,0.14,強気,89.0,2026-07-23,False,強気 → 強気,維持,-8.0,10.0
2026-07-27,171,68.51,0.230992,1.8714,96,10.97,-0.006043,-1.4481,強気,強気,88.0,1.0,1.0,7.0,0.07,強気,81.0,2026-07-24,False,強気 → 強気,維持,7.0,11.0
2026-07-28,129,64.58,0.15896,12.2899,-42,-3.93,-0.072032,10.4185,強気,強気,93.0,0.99,1.0,5.0,0.05,強気,88.0,2026-07-27,False,強気 → 強気,維持,5.0,12.0
2026-07-29,205,71.79,0.189535,2.4434,76,7.21,0.030575,-9.8465,強気,強気,100.0,1.0,1.0,8.0,0.08,強気,93.0,2026-07-28,False,強気 → 強気,維持,7.0,13.0
2026-07-30,128,69.42,0.178368,2.2438,-77,-2.37,-0.011167,-0.1996,強気,強気,93.0,0.99,0.99,6.0,0.06,強気,100.0,2026-07-29,False,強気 → 強気,維持,-7.0,14.0
2026-07-31,98,64.19,0.147939,2.3808,-30,-5.23,-0.030429,0.137,強気,強気,83.0,0.97,0.99,8.0,0.08,強気,93.0,2026-07-30,False,強気 → 強気,維持,-10.0,15.0
2026-08-03,74,59.4,0.212253,2.9395,-24,-4.79,0.064314,0.5587,強気,強気,81.0,0.94,0.97,17.0,0.17,強気,83.0,2026-07-31,False,強気 → 強気,維持,-2.0,16.0
2026-08-04,74,58.42,0.216038,2.8616,0,-0.98,0.003785,-0.0779,強気,強気,81.0,0.96,0.96,15.0,0.15,強気,81.0,2026-08-03,False,強気 → 強気,維持,0.0,17.0
2026-08-05,100,65.07,0.193497,2.4768,26,6.65,-0.022541,-0.3848,強気,強気,93.0,1.0,1.0,16.0,0.16,強気,81.0,2026-08-04,False,強気 → 強気,維持,12.0,18.0
2026-08-06,139,68.53,0.175985,2.9264,39,3.46,-0.017512,0.4496,強気,強気,93.0,1.0,1.0,13.0,0.13,強気,93.0,2026-08-05,False,強気 → 強気,維持,0.0,19.0
2026-08-07,158,71.49,0.192692,3.731,19,2.96,0.016707,0.8046,強気,強気,100.0,1.0,1.0,9.0,0.09,強気,93.0,2026-08-06,False,強気 → 強気,維持,7.0,20.0
2026-08-10,192,74.31,0.24042,3.5501,34,2.82,0.047728,-0.1809,過熱警戒,強気,100.0,1.0,1.0,23.0,0.23,強気,100.0,2026-08-07,True,強気 → 過熱警戒,警戒強化,0.0,1.0
2026-08-12,152,71.91,0.231183,5.4375,-40,-2.4,-0.009237,1.8874,過熱警戒,強気,100.0,1.0,1.0,23.0,0.23,過熱警戒,100.0,2026-08-10,False,過熱警戒 → 過熱警戒,維持,0.0,2.0
2026-08-13,179,71.88,0.225038,7.7491,27,-0.03,-0.006145,2.3116,過熱警戒,強気,100.0,0.99,0.99,22.0,0.22,過熱警戒,100.0,2026-08-12,False,過熱警戒 → 過熱警戒,維持,0.0,3.0
2026-08-14,238,72.97,0.220229,4.9717,59,1.09,-0.004809,-2.7774,過熱警戒,強気,100.0,1.0,1.0,23.0,0.23,過熱警戒,100.0,2026-08-13,False,過熱警戒 → 過熱警戒,維持,0.0,4.0
2026-08-17,178,73.16,0.229325,3.8067,-60,0.19,0.009096,-1.165,過熱警戒,強気,100.0,1.0,1.0,23.0,0.23,過熱警戒,100.0,2026-08-14,False,過熱警戒 → 過熱警戒,維持,0.0,5.0
2026-08-18,171,73.18,0.305816,5.434,-7,0.02,0.076491,1.6273,過熱警戒,強気,100.0,1.0,1.0,21.0,0.21,過熱警戒,100.0,2026-08-17,False,過熱警戒 → 過熱警戒,維持,0.0,6.0
