date,rank,code,name,close,score,reason,score_ytd_high,score_ytd_streak,score_return_20d,score_volume_ratio,score_ma,score_trading_value,ytd_high_flag,ytd_high_streak,ytd_high_count,return_5d,return_20d,return_60d,volume_ratio,trading_value,ma20,ma60,above_ma20,above_ma60,is_new_entry,rank_change,is_rising_fast,is_best_rank,top30_streak_days
2026-07-04,1,6522,アスタリスク,1950.0,88,年初来高値更新、連続更新2日、20日騰落率159.0%、出来高倍率6.1倍、20日線上、60日線上、売買代金1億円以上,30,8,20,15,10,5,True,2,15,0.911764705882353,1.5896414342629481,0.8536121673003803,6.134253830977372,19128525000.0,1050.05,1036.0166666666667,True,True,True,,False,True,1
2026-07-04,2,7041,ＣＲＧホールディングス,352.0,87,年初来高値更新、連続更新3日、20日騰落率37.5%、出来高倍率3.0倍、20日線上、60日線上,30,12,20,15,10,0,True,3,5,0.36964980544747084,0.375,0.10344827586206895,3.024151207560378,15206400.0,272.35,286.4166666666667,True,True,True,,False,True,1
2026-07-04,3,4258,網屋,4395.0,87,年初来高値更新、連続更新3日、20日騰落率24.3%、出来高倍率4.5倍、20日線上、60日線上、売買代金1億円以上,30,12,15,15,10,5,True,3,10,0.3523076923076922,0.24328147100424324,0.5207612456747406,4.518860662047729,773959500.0,3435.0,3177.516666666667,True,True,True,,False,True,1
2026-07-04,4,4424,Ａｍａｚｉａ,272.0,85,年初来高値更新、連続更新1日、20日騰落率36.0%、出来高倍率10.5倍、20日線上、60日線上、売買代金1億円以上,30,5,20,15,10,5,True,1,5,0.33990147783251223,0.3600000000000001,0.030303030303030276,10.516443604159411,574926400.0,211.35,232.01666666666668,True,True,True,,False,True,1
2026-07-04,5,9304,澁澤倉庫,1757.0,82,年初来高値更新、連続更新3日、20日騰落率23.6%、出来高倍率2.3倍、20日線上、60日線上、売買代金1億円以上,30,12,15,10,10,5,True,3,26,0.10781841109709966,0.23558368495077353,0.3024462564862862,2.3066532746856927,585081000.0,1547.15,1422.15,True,True,True,,False,True,1
2026-07-04,6,6058,ベクトル,1893.0,81,年初来高値更新、連続更新7日、20日騰落率34.5%、20日線上、60日線上、売買代金1億円以上,30,16,20,0,10,5,True,7,13,0.12344213649851632,0.3454157782515992,0.4595219737856593,1.0535337701442378,884220300.0,1603.55,1387.9166666666667,True,True,True,,False,True,1
2026-07-04,7,6492,岡野バルブ製造,21350.0,80,年初来高値更新、連続更新1日、20日騰落率45.0%、出来高倍率2.4倍、20日線上、60日線上、売買代金1億円以上,30,5,20,10,10,5,True,1,14,0.37034659820282423,0.4504076086956521,0.9497716894977168,2.409188034188034,1925770000.0,15987.0,15435.5,True,True,True,,False,True,1
2026-07-04,8,4417,グローバルセキュリティエキスパート,4210.0,78,年初来高値更新、連続更新2日、20日騰落率37.6%、出来高倍率2.0倍、20日線上、60日線上、売買代金1億円以上,30,8,20,5,10,5,True,2,12,0.27190332326283984,0.3758169934640523,0.6574803149606299,1.9650776053215078,596978000.0,3363.65,2992.55,True,True,True,,False,True,1
2026-07-04,9,6037,楽待,1188.0,78,年初来高値更新、連続更新2日、20日騰落率20.4%、出来高倍率2.1倍、20日線上、60日線上、売買代金1億円以上,30,8,15,10,10,5,True,2,8,0.11864406779661008,0.20364741641337392,0.26923076923076916,2.128941554529022,188892000.0,1053.3,977.9666666666667,True,True,True,,False,True,1
2026-07-04,10,3436,ＳＵＭＣＯ,5094.0,77,年初来高値更新、連続更新3日、20日騰落率26.1%、出来高倍率1.7倍、20日線上、60日線上、売買代金1億円以上,30,12,15,5,10,5,True,3,30,0.3342063907805133,0.2605790645879733,1.9175257731958761,1.6911207590154815,124896220200.0,4005.6,3293.725,True,True,True,,False,True,1
2026-07-04,11,6218,エンシュウ,693.0,77,年初来高値更新、連続更新3日、20日騰落率14.0%、出来高倍率9.2倍、20日線上、60日線上,30,12,10,15,10,0,True,3,12,0.19482758620689644,0.13980263157894735,0.18461538461538463,9.167643610785463,27096300.0,598.0,586.1666666666666,True,True,True,,False,True,1
2026-07-04,12,4120,スガイ化学工業,3200.0,76,年初来高値更新、連続更新5日、20日騰落率28.0%、出来高倍率1.8倍、20日線上、60日線上,30,16,15,5,10,0,True,5,12,0.15523465703971118,0.28,0.4545454545454546,1.8397626112759644,9920000.0,2700.0,2450.483333333333,True,True,True,,False,True,1
2026-07-04,13,6778,アルチザネットワークス,689.0,76,年初来高値更新、連続更新5日、20日騰落率8.5%、出来高倍率3.1倍、20日線上、60日線上,30,16,5,15,10,0,True,5,24,0.029895366218236186,0.08503937007874018,0.07824726134585291,3.10010764262648,49608000.0,649.85,636.6833333333333,True,True,True,,False,True,1
2026-07-04,14,6136,オーエスジー,4101.0,75,年初来高値更新、連続更新1日、20日騰落率19.8%、出来高倍率3.2倍、20日線上、60日線上、売買代金1億円以上,30,5,10,15,10,5,True,1,45,0.13037486218302097,0.1980718667835233,0.5545868081880212,3.189437698927266,5547832800.0,3574.7,3342.9583333333335,True,True,True,,False,True,1
2026-07-04,15,4680,ラウンドワン,1256.5,73,年初来高値更新、連続更新2日、20日騰落率33.9%、20日線上、60日線上、売買代金1億円以上,30,8,20,0,10,5,True,2,7,0.10413005272407738,0.3388385721896643,0.44193248197907997,1.4647273580160045,5963600300.0,1072.1299957275392,953.7966674804687,True,True,True,,False,True,1
2026-07-04,16,7504,高速,3640.0,73,年初来高値更新、連続更新2日、20日騰落率30.2%、20日線上、60日線上、売買代金1億円以上,30,8,20,0,10,5,True,2,18,0.0980392156862746,0.30232558139534893,0.1914893617021276,1.1884707518738893,279916000.0,3157.6,2992.0,True,True,True,,False,True,1
2026-07-04,17,8344,山形銀行,3965.0,73,年初来高値更新、連続更新2日、20日騰落率28.9%、出来高倍率2.0倍、20日線上、60日線上、売買代金1億円以上,30,8,15,5,10,5,True,2,34,0.1783060921248143,0.2894308943089432,0.5549019607843138,1.9662355115068033,928206500.0,3443.0,2990.016666666667,True,True,True,,False,True,1
2026-07-04,18,7806,ＭＴＧ,8100.0,73,年初来高値更新、連続更新2日、20日騰落率19.1%、出来高倍率2.3倍、20日線上、60日線上、売買代金1億円以上,30,8,10,10,10,5,True,2,23,0.11570247933884303,0.19117647058823528,0.32352941176470584,2.286642902075907,1766610000.0,7373.0,6812.333333333333,True,True,True,,False,True,1
2026-07-04,19,8844,コスモスイニシア,1417.0,72,年初来高値更新、連続更新4日、20日騰落率19.6%、出来高倍率1.7倍、20日線上、60日線上、売買代金1億円以上,30,12,10,5,10,5,True,4,12,0.13359999999999994,0.19578059071729959,0.23003472222222232,1.7450980392156863,163946900.0,1254.45,1208.65,True,True,True,,False,True,1
2026-07-04,20,4413,ボードルア,2895.0,72,年初来高値更新、連続更新4日、20日騰落率16.6%、出来高倍率1.5倍、20日線上、60日線上、売買代金1億円以上,30,12,10,5,10,5,True,4,9,0.20424292845257908,0.16639806607574537,0.43601190476190466,1.52751523904594,1041042000.0,2531.8,2296.1833333333334,True,True,True,,False,True,1
2026-07-04,21,7380,十六フィナンシャルグループ,2461.0,71,年初来高値更新、連続更新5日、20日騰落率17.5%、20日線上、60日線上、売買代金1億円以上,30,16,10,0,10,5,True,5,27,0.07467248908296953,0.17470167064439135,0.3021164021164022,0.7438711861128572,946500600.0,2252.4,2132.0,True,True,True,,False,True,1
2026-07-04,22,8381,山陰合同銀行,2391.0,71,年初来高値更新、連続更新5日、20日騰落率14.2%、20日線上、60日線上、売買代金1億円以上,30,16,10,0,10,5,True,5,35,0.07364167040862157,0.1418338108882522,0.2637420718816068,0.6910390429415024,864585600.0,2209.35,2052.4,True,True,True,,False,True,1
2026-07-04,23,7245,大同メタル工業,1792.0,70,年初来高値更新、連続更新1日、20日騰落率49.6%、20日線上、60日線上、売買代金1億円以上,30,5,20,0,10,5,True,1,21,0.05972797161442944,0.4958263772954925,1.0180180180180178,1.0442611263876158,2296806400.0,1490.75,1137.7833333333333,True,True,True,,False,True,1
2026-07-04,24,3237,イントランス,109.0,70,年初来高値更新、連続更新1日、20日騰落率43.4%、20日線上、60日線上、売買代金1億円以上,30,5,20,0,10,5,True,1,12,0.1847826086956521,0.4342105263157894,0.472972972972973,0.5372422021476052,103070400.0,89.1,74.71666666666667,True,True,True,,False,True,1
2026-07-04,25,7069,サイバー・バズ,718.0,70,年初来高値更新、連続更新1日、20日騰落率27.1%、出来高倍率2.5倍、20日線上、60日線上,30,5,15,10,10,0,True,1,23,0.12275215011727902,0.2707964601769912,0.8697916666666667,2.4936386768447836,42218400.0,638.9,517.6083333333333,True,True,True,,False,True,1
2026-07-04,26,4419,Ｆｉｎａｔｅｘｔホールディングス,1516.0,70,年初来高値更新、連続更新1日、20日騰落率16.3%、出来高倍率2.2倍、20日線上、60日線上、売買代金1億円以上,30,5,10,10,10,5,True,1,14,0.15197568389057747,0.16257668711656437,0.4950690335305721,2.2006150506512303,1475371200.0,1301.75,1218.25,True,True,True,,False,True,1
