date,initial_capital,cash,invested_cost,market_value,equity,realized_pnl,unrealized_pnl,exposure_ratio,peak_equity,drawdown,open_positions,closed_trades,win_rate
2026-07-13,10000000.0,6956500.0,3043500.0,3043500.0,10000000.0,0.0,0.0,0.30435,10000000.0,0.0,3,0,
2026-07-14,10000000.0,4158900.0,5841100.0,5912900.0,10071800.0,0.0,71800.0,0.5870748029150697,10071800.0,0.0,6,0,
2026-07-15,10000000.0,2051800.0,7948200.0,7918700.0,9970500.0,0.0,-29500.0,0.7942129281380071,10071800.0,-0.0100577851029607,9,0,
2026-07-16,10000000.0,2051800.0,7948200.0,7870300.0,9922100.0,0.0,-77900.0,0.7932090988802774,10071800.0,-0.0148632816378403,9,0,
2026-07-17,10000000.0,2237500.0,7672200.0,7516200.0,9753700.0,-90300.0,-156000.0,0.7705998749192614,10071800.0,-0.0315832323914295,9,1,0.0
2026-07-21,10000000.0,2076440.0390625,7785559.9609375,7785159.9609375,9861600.0,-138000.0,-400.0,0.7894418715966476,10071800.0,-0.0208701523064397,10,7,0.4285714285714285
2026-07-22,10000000.0,2007240.0390625,7832159.9609375,7670700.0,9677940.0390625,-160600.0,-161459.9609375,0.7925963551168126,10071800.0,-0.0391052206097718,9,9,0.3333333333333333
2026-07-23,10000000.0,2007240.0390625,7832159.9609375,7732559.9609375,9739800.0,-160600.0,-99600.0,0.7939136287128585,10071800.0,-0.0329633233384301,9,9,0.3333333333333333
2026-07-24,10000000.0,4080040.0390625,5624759.9609375,5624700.0,9704740.0390625,-295200.0,-59.9609375,0.5795827582562798,10071800.0,-0.03644432583426,7,12,0.3333333333333333
2026-07-27,10000000.0,2106040.0390625,7598759.9609375,7740240.0390625,9846280.078125,-295200.0,141480.078125,0.7861080507204558,10071800.0,-0.0223912232048888,10,12,0.3333333333333333
2026-07-28,10000000.0,5655120.01953125,4018500.0,3970700.0,9625820.01953125,-326379.98046875,-47800.0,0.4125051156102295,10071800.0,-0.0442800671646329,5,18,0.4444444444444444
2026-07-29,10000000.0,1962220.01953125,7639600.0,7568400.0,9530620.01953125,-398179.98046875,-71200.0,0.7941141273589712,10071800.0,-0.0537322008448092,9,20,0.45
2026-07-30,10000000.0,1946220.01953125,7592000.0,7450100.0,9396320.01953125,-461779.98046875,-141900.0,0.7928742299660053,10071800.0,-0.0670664608579151,9,21,0.4285714285714285
2026-07-31,10000000.0,1923820.01953125,7580400.0,7310850.0,9234670.01953125,-495779.98046875,-269550.0,0.7916742000025571,10071800.0,-0.083116223561702,10,22,0.4090909090909091
2026-08-03,10000000.0,1923820.01953125,7580400.0,7307700.0,9231520.01953125,-495779.98046875,-272700.0,0.7916031146050706,10071800.0,-0.08342897798494309,10,22,0.4090909090909091
