position_id,status,code,name,sector33,entry_date,entry_price,quantity,cost_basis,current_price,market_value,highest_close,stop_price,target_price,trailing_stop_pct,holding_days,sector_research_priority,sector_leader_score,sector_rotation,unrealized_pnl,unrealized_return
2026-07-27-9308,OPEN,9308,乾汽船,海運業,2026-07-27,1860.0,100,186000.0,1890.0,189000.0,1890.0,1729.8,2120.4,0.1,4,優先,72.0,低迷,3000.0,0.016129032258064502
2026-07-29-9684,OPEN,9684,スクウェア・エニックス・ホールディングス,情報・通信業,2026-07-29,2923.5,300,877050.0,2764.5,829350.0,2923.5,2718.86,3332.78,0.1,2,優先,81.8,改善,-47700.0,-0.054386865059004585
2026-07-29-8163,OPEN,8163,ＳＲＳホールディングス,小売業,2026-07-29,1440.0,700,1008000.0,1434.0,1003800.0,1465.0,1339.2,1641.6,0.1,2,優先,81.1,改善,-4200.0,-0.004166666666666652
2026-07-29-3397,OPEN,3397,トリドールホールディングス,小売業,2026-07-29,4584.0,200,916800.0,4345.0,869000.0,4584.0,4263.12,5225.76,0.1,2,優先,77.4,改善,-47800.0,-0.052137870855148316
2026-07-29-9048,OPEN,9048,名古屋鉄道,陸運業,2026-07-29,1994.5,500,997250.0,1895.0,947500.0,1994.5,1854.88,2273.74,0.1,2,優先,75.0,加速,-49750.0,-0.049887189771872675
2026-07-29-9006,OPEN,9006,京浜急行電鉄,陸運業,2026-07-29,1651.5,600,990900.0,1557.0,934200.0,1651.5,1535.89,1882.72,0.1,2,優先,74.2,加速,-56700.0,-0.05722070844686644
2026-07-29-8697,OPEN,8697,日本取引所グループ,その他金融業,2026-07-29,2290.0,400,916000.0,2192.5,877000.0,2290.0,2129.7,2610.6,0.1,2,優先,72.5,改善,-39000.0,-0.042576419213973815
2026-07-30-2501,OPEN,2501,サッポロホールディングス,食料品,2026-07-30,2080.0,400,832000.0,2011.5,804600.0,2080.0,1934.4,2371.2,0.1,1,優先,79.0,減速,-27400.0,-0.03293269230769236
2026-07-31-4661,OPEN,4661,オリエンタルランド,サービス業,2026-07-31,3167.0,200,633400.0,3167.0,633400.0,3167.0,2945.31,3610.38,0.1,0,優先,73.6,低迷,0.0,0.0
2026-07-31-8609,OPEN,8609,岡三証券グループ,証券、商品先物取引業,2026-07-31,1115.0,200,223000.0,1115.0,223000.0,1115.0,1036.95,1271.1,0.1,0,優先,73.1,改善,0.0,0.0
