date,ytd_high_count,top100_avg_score,top100_avg_return_20d,top100_avg_volume_ratio,delta_ytd_high_count,delta_top100_avg_score,delta_top100_avg_return_20d,delta_top100_avg_volume_ratio,market_regime,market_regime_base,market_regime_score,market_regime_ma20_ratio,market_regime_ma60_ratio,market_regime_overheat_count,market_regime_overheat_ratio,previous_market_regime,previous_market_regime_score,previous_market_regime_date,regime_changed,regime_transition,regime_transition_type,regime_score_delta,regime_streak
2026-07-04,100,65.89,0.167364,1.882,0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2026-07-05,131,65.89,0.167364,1.882,31,0.0,0.0,0.0,,,,,,,,,,,,,,,
2026-07-06,161,68.99,0.190791,2.1698,30,3.1,0.023427,0.2878,,,,,,,,,,,,,,,
2026-07-07,166,66.62,0.146962,2.2191,5,-2.37,-0.043829,0.0493,,,,,,,,,,,,,,,
2026-07-08,112,64.33,0.147376,1.6387,-54,-2.29,0.000414,-0.5804,,,,,,,,,,,,,,,
2026-07-09,68,54.94,0.209077,3.0587,-44,-9.39,0.061701,1.42,,,,,,,,,,,,,,,
2026-07-10,97,61.42,0.168127,7.247,29,6.48,-0.04095,4.1883,強気,強気,89.0,0.99,0.99,11.0,0.11,,,,False,履歴開始 → 強気,履歴開始,,1.0
2026-07-13,103,63.14,0.155646,3.9633,6,1.72,-0.012481,-3.2837,強気,強気,93.0,0.99,1.0,12.0,0.12,強気,89.0,2026-07-10,False,強気 → 強気,維持,4.0,2.0
2026-07-14,97,64.37,0.189463,3.8212,-6,1.23,0.033817,-0.1421,強気,強気,89.0,1.0,1.0,14.0,0.14,強気,93.0,2026-07-13,False,強気 → 強気,維持,-4.0,3.0
2026-07-15,127,65.55,0.165512,2.2441,30,1.18,-0.023951,-1.5771,強気,強気,93.0,1.0,1.0,5.0,0.05,強気,89.0,2026-07-14,False,強気 → 強気,維持,4.0,4.0
2026-07-16,119,64.79,0.143291,3.6561,-8,-0.76,-0.022221,1.412,強気,強気,87.0,1.0,1.0,8.0,0.08,強気,93.0,2026-07-15,False,強気 → 強気,維持,-6.0,5.0
