position_id,status,code,name,sector33,entry_date,entry_price,quantity,cost_basis,current_price,market_value,highest_close,stop_price,target_price,trailing_stop_pct,holding_days,sector_research_priority,sector_leader_score,sector_rotation,unrealized_pnl,unrealized_return
2026-07-21-9831,OPEN,9831,ヤマダホールディングス,小売業,2026-07-21,728.0999755859375,1600,1164959.9609375,735.9000244140625,1177440.0390625,735.9000244140625,677.13,830.04,0.1,4,優先,83.0,改善,12480.078125,0.010712881595481338
2026-07-21-7389,OPEN,7389,あいちフィナンシャルグループ,銀行業,2026-07-21,1824.0,600,1094400.0,1875.0,1125000.0,1875.0,1696.32,2079.36,0.1,4,優先,82.8,加速,30600.0,0.02796052631578938
2026-07-21-8393,OPEN,8393,宮崎銀行,銀行業,2026-07-21,2363.0,100,236300.0,2553.0,255300.0,2553.0,2197.59,2693.82,0.1,4,優先,78.3,加速,19000.0,0.08040626322471445
2026-07-21-7322,OPEN,7322,三十三フィナンシャルグループ,銀行業,2026-07-21,1932.0,100,193200.0,2054.0,205400.0,2054.0,1796.76,2202.48,0.1,4,優先,78.3,加速,12200.0,0.06314699792960665
2026-07-21-9278,OPEN,9278,ブックオフグループホールディングス,小売業,2026-07-21,2638.0,400,1055200.0,2722.0,1088800.0,2722.0,2453.34,3007.32,0.1,4,優先,75.9,改善,33600.0,0.03184230477634564
2026-07-22-8622,OPEN,8622,水戸証券,証券、商品先物取引業,2026-07-22,779.0,1300,1012700.0,791.0,1028300.0,791.0,724.47,888.06,0.1,3,優先,79.3,加速,15600.0,0.015404364569961526
2026-07-24-8388,OPEN,8388,阿波銀行,銀行業,2026-07-24,8680.0,100,868000.0,8860.0,886000.0,8860.0,8072.4,9895.2,0.1,1,優先,83.9,主導,18000.0,0.02073732718894017
2026-07-27-7175,OPEN,7175,今村証券,証券、商品先物取引業,2026-07-27,1787.0,600,1072200.0,1787.0,1072200.0,1787.0,1661.91,2037.18,0.1,0,優先,82.2,加速,0.0,0.0
2026-07-27-3132,OPEN,3132,マクニカホールディングス,卸売業,2026-07-27,3579.0,200,715800.0,3579.0,715800.0,3579.0,3328.47,4080.06,0.1,0,優先,81.0,改善,0.0,0.0
2026-07-27-9308,OPEN,9308,乾汽船,海運業,2026-07-27,1860.0,100,186000.0,1860.0,186000.0,1860.0,1729.8,2120.4,0.1,0,優先,72.0,低迷,0.0,0.0
