decision_schema_version,decision_id,source_run_id,source_run_url,source_artifact_sha256,recorded_at_utc,decision_date,strategy_fingerprint,focus_policy_version,code,name,sector33,research_bucket,daily_action_list,daily_action_rank,action_priority,action_priority_before_quality,action_priority_before_daily_focus,momentum_rank,momentum_score,action_score,expectancy_score,expectancy_confidence,lifecycle_status,market_regime,relative_strength_grade,data_quality_grade,data_quality_reason_codes,why_today,what_changed,risk_summary,next_research_questions,focus_adjustment_reason,entry_model,round_trip_cost_bps,research_only
2026-07-12-priority-decision-v1,3d5a05d48e5c3015094c3565732268a91910095602a7eb2cd0ab629b57552e12,29243611472,https://github.com/M-Osugi1230/momentum-chimpan/actions/runs/29243611472,ce7d519c7d3ab9284dd7fca5a5224ecbee3389d5fc010e9de28649523b3b0c77,2026-07-13T10:58:37Z,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,7453,良品計画,小売業,B,True,1.0,B,B,B,13,75.0,72.0,35.2,高,初登場,強気,S,A,,Top100新規ランクイン / 前回比+2409位 / 自己最高順位を更新 / 重点候補ライフサイクル: 初登場 / Momentum #13 / Momentum 75点 / 相対強度S・全体155位 / 小売業中央値比20日+14.9% / 期待値35.2点 / 信頼度 高 / Momentum上位30位 / 売買代金50億円以上 / 出来高4.1倍 / 初動 / 大型資金 / 強気相場の初動・加速候補,Top100新規ランクイン / 前回比+2409位 / 自己最高順位を更新 / 重点候補ライフサイクル: 初登場,Data Quality A / 20日線乖離17.1% / 流動性十分（売買代金50億円以上） / 過熱注意なし,最新決算・業績修正・適時開示を確認 / 上昇材料が一過性か継続性があるか確認 / 日足チャート、窓、移動平均乖離、直近高値を確認 / 新規ランクインの直接要因と同業他社比較を確認 / 出来高急増の材料と翌日以降の継続性を確認 / 初動・加速・継続・再浮上のどの局面かをチャートで確認,既存調査優先度を維持,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,20,True
2026-07-12-priority-decision-v1,be26e230ed5e37f6cf89b1a631e4d6aed417730170b0e84d10c8cc24b464b097,29243611472,https://github.com/M-Osugi1230/momentum-chimpan/actions/runs/29243611472,ce7d519c7d3ab9284dd7fca5a5224ecbee3389d5fc010e9de28649523b3b0c77,2026-07-13T10:58:37Z,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,3436,ＳＵＭＣＯ,金属製品,B,True,2.0,B,B,B,22,70.0,65.0,35.2,高,再浮上,強気,S,A,,Top100新規ランクイン / 前回比+97位 / 重点候補ライフサイクル: 再浮上 / Momentum #22 / Momentum 70点 / 相対強度S・全体23位 / 金属製品中央値比20日+17.4% / 期待値35.2点 / 信頼度 高 / Momentum上位30位 / 売買代金50億円以上 / 出来高2.5倍 / 初動 / 大型資金 / 強気相場の初動・加速候補,Top100新規ランクイン / 前回比+97位 / 重点候補ライフサイクル: 再浮上,Data Quality A / 20日線乖離17.1% / 流動性十分（売買代金50億円以上） / 過熱注意なし,最新決算・業績修正・適時開示を確認 / 上昇材料が一過性か継続性があるか確認 / 日足チャート、窓、移動平均乖離、直近高値を確認 / 新規ランクインの直接要因と同業他社比較を確認 / 出来高急増の材料と翌日以降の継続性を確認 / 初動・加速・継続・再浮上のどの局面かをチャートで確認,既存調査優先度を維持,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,20,True
2026-07-12-priority-decision-v1,e8270d2fb3e1758267a77040d8f279e74b7c225efeb4f10e4786c01b25c191b3,29243611472,https://github.com/M-Osugi1230/momentum-chimpan/actions/runs/29243611472,ce7d519c7d3ab9284dd7fca5a5224ecbee3389d5fc010e9de28649523b3b0c77,2026-07-13T10:58:37Z,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,6136,オーエスジー,機械,B,True,3.0,B,B,B,23,70.0,65.0,35.2,高,再浮上,強気,S,A,,Top100新規ランクイン / 前回比+334位 / 重点候補ライフサイクル: 再浮上 / Momentum #23 / Momentum 70点 / 相対強度S・全体52位 / 機械中央値比20日+14.5% / 期待値35.2点 / 信頼度 高 / Momentum上位30位 / 売買代金50億円以上 / 出来高2.4倍 / 初動 / 大型資金 / 強気相場の初動・加速候補,Top100新規ランクイン / 前回比+334位 / 重点候補ライフサイクル: 再浮上,Data Quality A / 流動性十分（売買代金50億円以上） / 過熱注意なし,最新決算・業績修正・適時開示を確認 / 上昇材料が一過性か継続性があるか確認 / 日足チャート、窓、移動平均乖離、直近高値を確認 / 新規ランクインの直接要因と同業他社比較を確認 / 出来高急増の材料と翌日以降の継続性を確認 / 初動・加速・継続・再浮上のどの局面かをチャートで確認,既存調査優先度を維持,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,20,True
2026-07-12-priority-decision-v1,c79eccad7bdab03b9cb93a2bfd5f7be3b580f273620c219ca43f9c622324db42,29243611472,https://github.com/M-Osugi1230/momentum-chimpan/actions/runs/29243611472,ce7d519c7d3ab9284dd7fca5a5224ecbee3389d5fc010e9de28649523b3b0c77,2026-07-13T10:58:37Z,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,2175,エス・エム・エス,サービス業,Watch,False,,C,C,C,21,70.0,53.0,36.3,高,再浮上,強気,S,A,,Top100新規ランクイン / 前回比+280位 / 重点候補ライフサイクル: 再浮上 / Momentum #21 / Momentum 70点 / 相対強度S・全体31位 / サービス業中央値比20日+17.9% / 期待値36.3点 / 信頼度 高 / Momentum上位30位 / 売買代金10億円以上 / 初動 / 強気相場の初動・加速候補,Top100新規ランクイン / 前回比+280位 / 重点候補ライフサイクル: 再浮上,Data Quality A / 流動性良好（売買代金10億円以上） / 過熱注意なし,最新決算・業績修正・適時開示を確認 / 上昇材料が一過性か継続性があるか確認 / 日足チャート、窓、移動平均乖離、直近高値を確認 / 新規ランクインの直接要因と同業他社比較を確認 / 初動・加速・継続・再浮上のどの局面かをチャートで確認,C評価だが継続性またはスコアの改善待ち,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,20,True
2026-07-12-priority-decision-v1,df703f9304cc014c89de65bd461c603ffd72d2de6ef97c9cc41d5de911bee11e,29243611472,https://github.com/M-Osugi1230/momentum-chimpan/actions/runs/29243611472,ce7d519c7d3ab9284dd7fca5a5224ecbee3389d5fc010e9de28649523b3b0c77,2026-07-13T10:58:37Z,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,2705,大戸屋ホールディングス,小売業,Skip,False,,見送り,見送り,見送り,57,60.0,42.0,36.3,高,初登場,強気,S,A,,Top100新規ランクイン / 前回比+1785位 / 自己最高順位を更新 / 重点候補ライフサイクル: 初登場 / Momentum #57 / Momentum 60点 / 相対強度S・全体171位 / 小売業中央値比20日+7.9% / 期待値36.3点 / 信頼度 高 / 初動 / 強気相場の初動・加速候補,Top100新規ランクイン / 前回比+1785位 / 自己最高順位を更新 / 重点候補ライフサイクル: 初登場,Data Quality A / 最低流動性基準を充足 / 過熱注意なし,最新決算・業績修正・適時開示を確認 / 上昇材料が一過性か継続性があるか確認 / 日足チャート、窓、移動平均乖離、直近高値を確認 / 新規ランクインの直接要因と同業他社比較を確認 / 初動・加速・継続・再浮上のどの局面かをチャートで確認,現時点の詳細調査優先度は低い,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,20,True
2026-07-12-priority-decision-v1,575cc76745c644f032987e3302d10842009d242dcffd714d3f765c48eec4aca2,29243611472,https://github.com/M-Osugi1230/momentum-chimpan/actions/runs/29243611472,ce7d519c7d3ab9284dd7fca5a5224ecbee3389d5fc010e9de28649523b3b0c77,2026-07-13T10:58:37Z,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,4381,ビープラッツ,情報・通信業,Watch,False,,見送り,見送り,見送り,5,85.0,56.0,41.2,高,初登場,強気,S,C,POSSIBLE_CORPORATE_ACTION|EXTREME_5D_RETURN|EXTREME_VOLUME_RATIO,Top100新規ランクイン / 前回比+237位 / 自己最高順位を更新 / 重点候補ライフサイクル: 初登場 / Momentum #5 / Momentum 85点 / 相対強度S・全体16位 / 情報・通信業中央値比20日+110.1% / 期待値41.2点 / 信頼度 高 / Momentum上位10位 / 売買代金10億円以上 / 出来高86.2倍 / 初動 / 強気相場の初動・加速候補,Top100新規ランクイン / 前回比+237位 / 自己最高順位を更新 / 重点候補ライフサイクル: 初登場,Data Quality C / 前日比76.6%のため株式分割等を要確認です / 5日騰落率が極端です（201.1%） / 出来高倍率が極端です（86.2倍） / 20日線乖離140.5% / 過熱注意 / 流動性良好（売買代金10億円以上） / 過熱注意あり・原則1段階引き下げ,最新決算・業績修正・適時開示を確認 / 上昇材料が一過性か継続性があるか確認 / 日足チャート、窓、移動平均乖離、直近高値を確認 / 新規ランクインの直接要因と同業他社比較を確認 / 出来高急増の材料と翌日以降の継続性を確認 / 初動・加速・継続・再浮上のどの局面かをチャートで確認,見送りだが閾値に近いため改善待ち,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,20,True
2026-07-12-priority-decision-v1,8479aa82787cfbdaa2838ce4f5468a2afaadc1099219f55f5d7e4c142cb1fbb5,29243611472,https://github.com/M-Osugi1230/momentum-chimpan/actions/runs/29243611472,ce7d519c7d3ab9284dd7fca5a5224ecbee3389d5fc010e9de28649523b3b0c77,2026-07-13T10:58:37Z,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,5644,メタルアート,鉄鋼,Watch,False,,見送り,見送り,見送り,59,60.0,47.0,36.3,高,初登場,強気,A,A,,Top100新規ランクイン / 前回比+2251位 / 自己最高順位を更新 / 重点候補ライフサイクル: 初登場 / Momentum #59 / Momentum 60点 / 相対強度A・全体595位 / 鉄鋼中央値比20日+1.9% / 期待値36.3点 / 信頼度 高 / 出来高2.1倍 / 初動 / 強気相場の初動・加速候補,Top100新規ランクイン / 前回比+2251位 / 自己最高順位を更新 / 重点候補ライフサイクル: 初登場,Data Quality A / 流動性確認済み（売買代金3億円以上） / 過熱注意なし,最新決算・業績修正・適時開示を確認 / 上昇材料が一過性か継続性があるか確認 / 日足チャート、窓、移動平均乖離、直近高値を確認 / 新規ランクインの直接要因と同業他社比較を確認 / 出来高急増の材料と翌日以降の継続性を確認 / 初動・加速・継続・再浮上のどの局面かをチャートで確認,見送りだが閾値に近いため改善待ち,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,20,True
2026-07-12-priority-decision-v1,28a1634c5a8ba09d79a18dd50a995a5ab5e9f97fab3efe160e3f11e3bc02ff96,29243611472,https://github.com/M-Osugi1230/momentum-chimpan/actions/runs/29243611472,ce7d519c7d3ab9284dd7fca5a5224ecbee3389d5fc010e9de28649523b3b0c77,2026-07-13T10:58:37Z,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,6058,ベクトル,サービス業,Watch,False,,見送り,見送り,見送り,10,77.0,47.0,46.5,中,再浮上,強気,S,A,,前回比+6位 / Top30を3営業日継続 / 重点候補ライフサイクル: 再浮上 / Momentum #10 / Momentum 77点 / 相対強度S・全体11位 / サービス業中央値比20日+26.9% / 期待値46.5点 / 信頼度 中 / Momentum上位10位 / 継続,前回比+6位 / Top30を3営業日継続 / 重点候補ライフサイクル: 再浮上,Data Quality A / 流動性確認済み（売買代金3億円以上） / 過熱注意なし,最新決算・業績修正・適時開示を確認 / 上昇材料が一過性か継続性があるか確認 / 日足チャート、窓、移動平均乖離、直近高値を確認 / 初動・加速・継続・再浮上のどの局面かをチャートで確認,見送りだが閾値に近いため改善待ち,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,20,True
2026-07-12-priority-decision-v1,e71ad8a539bcaa0f29dda1f2571b9508f79566465a4c29dfcae3461f144fec5b,29243611472,https://github.com/M-Osugi1230/momentum-chimpan/actions/runs/29243611472,ce7d519c7d3ab9284dd7fca5a5224ecbee3389d5fc010e9de28649523b3b0c77,2026-07-13T10:58:37Z,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,7504,高速,卸売業,Watch,False,,C,C,C,6,80.0,50.0,46.5,中,定着,強気,S,A,,前回比+5位 / 自己最高順位を更新 / Top30を8営業日継続 / 重点候補ライフサイクル: 定着 / Momentum #6 / Momentum 80点 / 相対強度S・全体32位 / 卸売業中央値比20日+26.5% / 期待値46.5点 / 信頼度 中 / Momentum上位10位 / 継続 / 定着,前回比+5位 / 自己最高順位を更新 / Top30を8営業日継続 / 重点候補ライフサイクル: 定着,Data Quality A / 流動性確認済み（売買代金3億円以上） / 過熱注意なし,最新決算・業績修正・適時開示を確認 / 上昇材料が一過性か継続性があるか確認 / 日足チャート、窓、移動平均乖離、直近高値を確認 / 初動・加速・継続・再浮上のどの局面かをチャートで確認,C評価だが継続性またはスコアの改善待ち,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,20,True
2026-07-12-priority-decision-v1,11fa87cca086d89a7a0f1ad51dacd5b4156fe07b42342fc9ea86fde02279a191,29243611472,https://github.com/M-Osugi1230/momentum-chimpan/actions/runs/29243611472,ce7d519c7d3ab9284dd7fca5a5224ecbee3389d5fc010e9de28649523b3b0c77,2026-07-13T10:58:37Z,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,7523,アールビバン,小売業,Watch,False,,見送り,見送り,見送り,15,75.0,59.0,41.2,高,初登場,強気,S,A,,Top100新規ランクイン / 前回比+212位 / 自己最高順位を更新 / 重点候補ライフサイクル: 初登場 / Momentum #15 / Momentum 75点 / 相対強度S・全体100位 / 小売業中央値比20日+10.1% / 期待値41.2点 / 信頼度 高 / Momentum上位30位 / 出来高39.7倍 / 初動 / 強気相場の初動・加速候補,Top100新規ランクイン / 前回比+212位 / 自己最高順位を更新 / 重点候補ライフサイクル: 初登場,Data Quality A / 過熱注意 / 流動性確認済み（売買代金3億円以上） / 過熱注意あり・原則1段階引き下げ,最新決算・業績修正・適時開示を確認 / 上昇材料が一過性か継続性があるか確認 / 日足チャート、窓、移動平均乖離、直近高値を確認 / 新規ランクインの直接要因と同業他社比較を確認 / 出来高急増の材料と翌日以降の継続性を確認 / 初動・加速・継続・再浮上のどの局面かをチャートで確認,見送りだが閾値に近いため改善待ち,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,20,True
