outcome_schema_version,decision_id,decision_date,strategy_fingerprint,focus_policy_version,code,name,sector33,research_bucket,lifecycle_status,market_regime,data_quality_grade,momentum_rank,momentum_score,horizon_sessions,entry_model,entry_date,exit_date,entry_adjusted_open,exit_adjusted_close,gross_return,round_trip_cost_bps,net_return,market_benchmark_ticker,market_entry_adjusted_open,market_exit_adjusted_close,market_return,market_excess_return,sector_proxy_method,sector_peer_count,sector_proxy_return,sector_excess_return,outcome_status,outcome_detail,same_day_close_entry,no_lookahead_verified,price_source,price_fingerprint,calculated_at_utc,research_only
2026-07-12-priority-outcome-v1,c79eccad7bdab03b9cb93a2bfd5f7be3b580f273620c219ca43f9c622324db42,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,2175,エス・エム・エス,サービス業,Watch,再浮上,強気,A,21,70.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:30+00:00,True
2026-07-12-priority-outcome-v1,df703f9304cc014c89de65bd461c603ffd72d2de6ef97c9cc41d5de911bee11e,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,2705,大戸屋ホールディングス,小売業,Skip,初登場,強気,A,57,60.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:30+00:00,True
2026-07-12-priority-outcome-v1,be26e230ed5e37f6cf89b1a631e4d6aed417730170b0e84d10c8cc24b464b097,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,3436,ＳＵＭＣＯ,金属製品,B,再浮上,強気,A,22,70.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:29+00:00,True
2026-07-12-priority-outcome-v1,575cc76745c644f032987e3302d10842009d242dcffd714d3f765c48eec4aca2,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,4381,ビープラッツ,情報・通信業,Watch,初登場,強気,C,5,85.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:30+00:00,True
2026-07-12-priority-outcome-v1,8479aa82787cfbdaa2838ce4f5468a2afaadc1099219f55f5d7e4c142cb1fbb5,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,5644,メタルアート,鉄鋼,Watch,初登場,強気,A,59,60.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:30+00:00,True
2026-07-12-priority-outcome-v1,28a1634c5a8ba09d79a18dd50a995a5ab5e9f97fab3efe160e3f11e3bc02ff96,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,6058,ベクトル,サービス業,Watch,再浮上,強気,A,10,77.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:31+00:00,True
2026-07-12-priority-outcome-v1,e8270d2fb3e1758267a77040d8f279e74b7c225efeb4f10e4786c01b25c191b3,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,6136,オーエスジー,機械,B,再浮上,強気,A,23,70.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:30+00:00,True
2026-07-12-priority-outcome-v1,3d5a05d48e5c3015094c3565732268a91910095602a7eb2cd0ab629b57552e12,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,7453,良品計画,小売業,B,初登場,強気,A,13,75.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:29+00:00,True
2026-07-12-priority-outcome-v1,e71ad8a539bcaa0f29dda1f2571b9508f79566465a4c29dfcae3461f144fec5b,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,7504,高速,卸売業,Watch,定着,強気,A,6,80.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:31+00:00,True
2026-07-12-priority-outcome-v1,11fa87cca086d89a7a0f1ad51dacd5b4156fe07b42342fc9ea86fde02279a191,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,7523,アールビバン,小売業,Watch,初登場,強気,A,15,75.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:31+00:00,True
2026-07-12-priority-outcome-v1,1bcda11822a43c98b6ee59dd3ec9ffad7ca45795d271d75b446b4611b75acfa5,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,8008,ヨンドシーホールディングス,小売業,C,継続,強気,A,2,90.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:31+00:00,True
2026-07-12-priority-outcome-v1,3864b281286d78f889d6834c405edada909ea3d5988f4f2ad13962a3c1d3483e,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,8095,アステナホールディングス,卸売業,Watch,継続,強気,A,18,73.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:32+00:00,True
2026-07-12-priority-outcome-v1,868ba81ceadc78b9bf4bee2a6011e5b6e6bfdad80fc97bbd58720dfd83b8be06,2026-07-13,c5397894cc4a67a1f5efe1131a990f0d3508f28dc15f23dc0e50671e6f5de05c,2026-07-12-daily-research-focus-v1,8244,近鉄百貨店,小売業,Watch,初登場,強気,A,41,65.0,5,NEXT_AVAILABLE_SESSION_ADJUSTED_OPEN,,,,,,20,,^TOPX,,,,,SAME_DECISION_DATE_SECTOR_COHORT_MEDIAN_NET_RETURN,,,,PENDING,future sessions are not yet available,False,False,yfinance,,2026-07-13T10:59:32+00:00,True
